notation,domain,matrix,name,description,tag,tag,tag,tags,tags,,,,,
,Hydrological,Liquid phase,"C6H3Cl3 (1,2,3-trichlorobenzene) ","IUPAC: 1,2,3-trichlorobenzene, PubChem CID: 6895, CAS Number: 87-61-6",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C6H3Cl3 (1,2,4-trichlorobenzene) ","IUPAC: 1,2,4-trichlorobenzene, PubChem CID: 13, CAS Number: 120-82-1",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C2H3Cl3 (methyl chloroform) ,"IUPAC: 1,1,1-trichloroethane, PubChem CID: 6278, CAS Number: 71-55-6",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C2H3Cl3 (vinyl trichloride) ,"IUPAC: 1,1,2-trichloroethane, PubChem CID: 6574, CAS Number: 79-00-5",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C2HCl3 (trichloroethylene) ,"IUPAC: 1,1,2-trichloroethene, PubChem CID: 6575, CAS Number:79-01-6",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,CCl3F (trichlorofluoromethane) ,"IUPAC: trichloro(fluoro)methane, PubChem CID: 6389, CAS Number: 75-69-4",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C6H3Cl3O (Dowcide 2, Nurelle) ","IUPAC: 2,4,5-trichlorophenol, PubChem CID: 7271, CAS Number: 95-95-4",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C6H3Cl3O (2,4,6-trichlorophenol) ","IUPAC: 2,4,6-trichlorophenol, PubChem CID:6914, CAS Number: 88-06-2",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C3H5Cl3 (1,2,3-trichloropropane) ","IUPAC:1,2,3-trichloropropane, PubChem CID:7285, CAS Number: 96-18-4",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,trihalomethane ,Chemical compounds in which three of the four hydrogen atoms of methane (CH4) are replaced by halogen atoms.,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,volatile organic compound (VOC) ,"Volatile organic compounds are organic chemicals (compounds of carbon) that have a high vapour pressure at room temperature. High vapor pressure correlates with a low boiling point, which relates to the number of the sample's molecules in the surrounding air, known as volatility.",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C4H5NOS (Methylisothiazolinone),"IUPAC: 2-methyl-1,2-thiazol-3-one, PubChem CID: 39800, CAS Number: 2682-20-4 ",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C4H4ClNOS (methylchloroisothiazolinone, 5-chloro-2-methyl-4-isothiazolin-3-one)","IUPAC: 5-Chloro-2-methyl-1,2-thiazol-3(2H)-one, PubChem CID: 33344, CAS Number: 26172-55-4",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in liquid phase","IUPAC: 1,2,3,4,5,6-hexachlorocyclohexane, PubChem CID:727, CAS Number: 58-89-9",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C12H21N2O3PS (Diazinon, Dimpylate)","IUPAC: O,O-Diethyl O-[4-methyl-6-(propan-2-yl)pyrimidin-2-yl] phosphorothioate, PubChem CID: 129830756, CAS Number: 333-41-5",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C5H12NO3PS2 (Dimethoate, O,O-dimethyl S-[2-(methylamino)-2-oxoethyl] dithiophosphate)","IUPAC: 2-dimethoxyphosphinothioylsulfanyl-N-methylacetamide, PubChem CID: 3082, CAS Number: 60-51-5",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C12H8Cl6O (endrin aldehyde),"IUPAC: 3,4,5,6,6,7-hexachloropentacyclo[6.3.0.02,4.03,7.05,9]undecane-10-carbaldehyde, PubChem CID: 522524, CAS Number: 7421-93-4",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C12H8Cl6O (endrin ketone),"IUPAC: 1,2,2,3,10,11-hexachloropentacyclo[5.4.1.03,10.04,12.05,9]dodecan-8-one, PubChem CID: 62060, CAS Number: 53494-70-5",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C7H17O2PS3 ( Phorate, O,O-Diethyl S-[(ethylsulfanyl)methyl] phosphorodithioate)","IUPAC: O,O-Diethyl S-[(ethylsulfanyl)methyl] phosphorodithioate, PubChem CID: 4790, CAS Number: 298-02-2",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C9H21O2PS3 (terbufos),"IUPAC: S-[(tert-Butylsulfanyl)methyl] O,O-diethyl phosphorodithioate, PubChem CID: 25670, CAS Number: 13071-79-9",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C10H6Cl8 (gamma-chlordane),"IUPAC: 1,4,4,7,8,9,10,10-octachlorotricyclo[5.2.1.02,6]dec-8-ene, PubChem CID: 21732, CAS Number: 5566-34-7",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C3H8NO5P (glyphosate),"IUPAC: 2-(phosphonomethylamino)acetic acid, PubChem CID: 3496, CAS Number: 1071-83-6",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C10H19O6PS2 (malathion),IUPAC: 2-[(dimethoxyphosphorothioyl)sulfanyl] butanedioate,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C16H20O6P2S3 (temefos, temephos)","IUPAC: O-[4-({4-[(Dimethoxyphosphorothioyl)oxy]phenyl}sulfanyl)phenyl] O,O-dimethyl phosphorothioate, PubChem CID: 5392, CAS Number: 3383-96-8",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C10H12N3O3PS2 (Azinphos-methyl, 3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one)","IUPAC: O,O-Dimethyl S-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl] phosphorodithioate, PubChem CID: 2268, CAS Number: 86-50-0",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C8H10NO5PS (Parathion-methyl, O,O-Dimethyl O-(4-nitrophenyl) phosphorothioate) ","IUPAC: O,O-Dimethyl-O-p-nitrophenylphosphorothioate, PubChem CID: 4130, CAS Number: 298-00-0",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"O,O,O′,O′-Tetramethyl O,O′-sulfanediylbis(1,4-phenylene) diphosphorothioate",,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"O,O-Diethyl S-{[(2-methyl-2-propanyl)sulfanyl]methyl} phosphorodithioate",,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C10H14NO5PS (parathion, parathion-ethyl, parathion-diethyl)","IUPAC: O,O-Diethyl O-(4-nitrophenyl) phosphorothioate, PubChem CID: 991, CAS Number: 56-38-2",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C20H30O2 (abietic acid),"IUPAC: Abieta-7,13-dien-18-oic acid, PubChem CID: 10569, CAS Number: 514-10-3",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C40H60O4 (diabietic acid),"IUPAC: (1R,4aR,4bR,10aR)-1,4a-dimethyl-7-propan-2-yl-2,3,4,4b,5,6,10,10a-octahydrophenanthrene-1-carboxylate, PubChem CID: 25099, CAS Number: 10248-55-2",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,Al (aluminium),"IUPAC: aluminium, PubChem CID: 5359268, CAS Number: 7429-90-5",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Sb (antimony) ,"IUPAC: antimony, PubChem CID: 5354495, CAS Number: 7440-36-0",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,As (arsenic),"IUPAC: arsenic, PubChem CID: 5359596, CAS Number: 7440-38-2",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Ba (barium) ,"IUPAC: barium, PubChem CID: 5355457, CAS Number: 7440-39-3",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Be (beryllium) ,"IUPAC: beryllium, PubChem CID: 5460467, CAS Number: 7440-41-7",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Bi (bismuth) ,"IUPAC: bismuth, PubChem CID: 5359367, CAS Number: 7440-69-9",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,B (boron),"IUPAC: boron, PubChem CID: 5462311, CAS Number: 7440-42-8",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Cs (cesium) ,"IUPAC: cesium, PubChem CID: 5354618, CAS Number: 7440-46-2",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Ce (cerium) ,"IUPAC: cerium, PubChem CID: 23974, CAS Number: 7440-45-1",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Dy (dysprosium) ,"IUPAC: dysprosium, PubChem CID: 23912, CAS Number: 7429-91-6",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Er (erbium) ,"IUPAC: erbium, PubChem CID: 23980, CAS Number: 7440-52-0",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Eu (europium) ,"IUPAC: europium, PubChem CID: 23981, CAS Number: 7440-53-1",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Gd (gadolinium) ,"IUPAC: gadolinium , PubChem CID: 23982, CAS Number: 7440-54-2",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Ga (gallium) ,"IUPAC: gallium , PubChem CID: 5360835, CAS Number: 7440-55-3",Chemical,Trace element,Water quality,hydrocarbon,organochloride,halocarbon,acute toxic,,,
,Hydrological,Liquid phase,Hf (hafnium) ,"IUPAC: hafnium, PubChem CID: 23986, CAS Number: 7440-58-6",Chemical,Trace element,Water quality,hydrocarbon,halocarbon,pesticide,acute toxic,,,
,Hydrological,Liquid phase,Ho (holmium) ,"IUPAC: Holmium, PubChem CID: 23988, CAS Number: 7440-60-0",Chemical,Trace element,Water quality,hydrocarbon,,,,,,
,Hydrological,Liquid phase,In (indium) ,"IUPAC: indium, PubChem CID: 5359967, CAS Number: 7440-74-6",Chemical,Trace element,Water quality,hydrocarbon,,,,,,
,Hydrological,Liquid phase,La (lanthanum) ,"IUPAC: lanthanum, PubChem CID: 23926, CAS Number: 7439-91-0",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Pb (lead) ,"IUPAC: lead, PubChem CID: 5352425, CAS Number: 7439-92-1",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Li (lithium) ,"IUPAC: lithium, PubChem CID: 3028194, CAS Number:  7439-93-2",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Lu (lutetium) ,"IUPAC: lutetium, PubChem CID: 23929, CAS Number: 7439-94-3",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Nd (neodymium) ,"IUPAC: neodymium, PubChem CID: 23934, CAS Number: 7440-00-8",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Pr (praseodymium) ,"IUPAC: praseodymium, PubChem CID: 23942, CAS Number: 7440-10-0",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Rb (rubidium) ,"IUPAC: rubidium, PubChem CID: 5357696, CAS Number: 7440-17-7",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Sm (samarium) ,"IUPAC: samarium, PubChem CID: 23951, CAS Number: 7440-19-9",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,silicate as Si ,,Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Sr (strontium) ,"IUPAC: strontium, PubChem CID: 5359327, CAS Number: 7440-24-6",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Te (tellurium) ,"IUPAC: tellurium, PubChem CID: 6327182, CAS Number: 13494-80-9",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Tb (terbium) ,"IUPAC: terbium, PubChem CID: 23958, CAS Number: 7440-27-9",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Tl (thallium) ,"IUPAC: thallium, PubChem CID: 5359464, CAS Number: 7440-28-0",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Th (thorium) ,"IUPAC: thorium, PubChem CID: 23960, CAS Number: 7440-29-1",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Tm (thulium) ,"IUPAC: thulium, PubChem CID: 23961, CAS Number: 7440-30-4",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Sn (tin) ,"IUPAC: tin, PubChem CID: 5352426, CAS Number: 7440-31-5",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,U (uranium) ,"IUPAC: uranium, PubChem CID: 23989, CAS Number: 7440-31-1",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,Yb (ytterbium) ,"IUPAC: ytterbium, PubChem CID: 23992, CAS Number: 7440-64-4",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,y (yttrium) ,"IUPAC: yttrium, pUBcHEM cid: 23993, cas nUMBER: 7440-65-5",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,"As2O3 (arsenic trioxide, arsenic(III) oxide)","IUPAC: diarsenic trioxide, PubChem CID: 261004, CAS Number: 1327-53-3",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,As+3 (arsenic(3+)),"IUPAC: arsenic(3+), PubChem CID: 104734, CAS Number: 22541-54-4",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,As2O5 (arsenic pentoxide (V)),"IUPAC: Arsenic pentoxide, PubChem CID: 14771, CAS Number: 1303-28-2",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,As+5 (arsenic(5+)),"IUPAC: arsenic(5+), PubChem CID: 104737, CAS Number: 17428-41-0",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,dissolved arsenic ,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,dissolved boron,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,C10 - C14 hydrocarbon fraction ,,Chemical,hydrocarbon,Water quality,,,,,,,
,Hydrological,Liquid phase,C10 - C236 hydrocarbon fraction ,,Chemical,hydrocarbon,Water quality,,,,,,,
,Hydrological,Liquid phase,C15 - C28 hydrocarbon fraction ,,Chemical,hydrocarbon,Water quality,,,,,,,
,Hydrological,Liquid phase,C29 - C36 hydrocarbon fraction ,,Chemical,hydrocarbon,Water quality,,,,,,,
,Hydrological,Liquid phase,C6 - C9 hydrocarbon fraction ,,Chemical,hydrocarbon,Water quality,,,,,,,
,Hydrological,Liquid phase,ClH (36Cl-Cl ratio) ,"IUPAC: Chlorine-36, PubChem CID: 105062, CAS Number: 13981-43-6",Chemical,Trace element,,,,,,,,
,Hydrological,Liquid phase, An (actinide) ,"The actinoid series encompasses the 15 metallic chemical elements with atomic numbers from 89 to 103, actinium through lawrencium.  The informal chemical symbol An is used in general discussions of actinoid chemistry to refer to any actinoid.",Chemical,Trace element,,,,,,,,
,Hydrological,Liquid phase,alkali metal ,"The alkali metals consist of the chemical elements hydrogen (H), lithium (Li), sodium (Na), potassium (K), rubidium (Rb), caesium (Cs) and francium (Fr). They constitute group 1 of the periodic table.",Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,alkaline earth metal ,"The alkaline earth metals are beryllium (Be), magnesium (Mg), calcium (Ca), strontium (Sr), barium (Ba), and radium (Ra). Six chemical elements in group 2 of the periodic table, they are reactive metals at standard temperature and pressure.",Chemical,Trace element,,,,,,,,
,Hydrological,Liquid phase,bicarbonate alkalinity as CaCO3 ,alkalinity ascribed to bicarbonate as HCO3 concentration,Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,carbonate alkalinity as CaCO3 ,alkalinity ascribed to carbonate as CO3 concentration,Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,hydroxide alkalinity as CaCO3 ,alkalinity ascribed to hydroxide as CO3 concentration,Chemical,Trace element,Water quality,,,,,,,
,Hydrological,Liquid phase,total alkalinity as CaCO3 ,concentration of CaCO3 of titratable bases using a methyl-orange endpoint of about pH 4.3,Chemical,Water quality,,,,,,,,
,Hydrological,Liquid phase,BTEX ,"Concentration of benzene, toluene, ethylbenzene and xylene. ",Chemical,hydrocarbon,Water quality,,,,,,,
,Hydrological,Liquid phase,C6H5Br (bromobenzene) ,"IUPAC: bromobenzene, PubChem CID: 7961, CAS Number: 108-86-1",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,CH3Br (bromomethane) ,"IUPAC: bromomethane, PubChem CID: 6323, CAS Number: 74-83-9",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C4H10 (butane) ,"IUPAC: butane, PubChem CID: 7483, CAS Number: 106-97-8",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"C4H8O (2-butanone, Methyl ethyl keton) ","IUPAC: butan-2-one, PubChem CID: 6569, CAS Number: 78-93-3",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"CaCO3 (calcium carbonate, aragonite, calcite) ","IUPAC: calcium carbonate, PubChem CID:10112, CAS Number: 471-34-1",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"CH4 (carbon-13, isotope of mass 13) ","IUPAC: carbane, PubChem CID: 105026, CAS Number: 14762-74-4",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,"CH4 (carbon 14, isotope of mass 14) ","IUPAC: carbane, PubChem CID: 26873, CAS Number: 14762-75-5",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,C (carbon) ,"IUPAC: carbon, PubChem CID: 5462310, CAS Number: 7440-44-0",Chemical,Inorganic,Water quality,,,,,,,
,Hydrological,Liquid phase,total dissolved carbon dioxide ,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,carbon dioxide flux ,The rate of flux for carbon dioxide through the water-air interface.,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,carbon dioxide storage flux ,The rate of change in storage of CO2.,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,dissolved inorganic carbon ,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,dissolved organic carbon,Concentration after filtering the sample through 0.45 uM filter.,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,CS2 (carbon disulfide) ,"IUPAC: Methanedithione, PubChem CID: 6348, CAS Number: 75-15-0",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,Inorganic carbon ,,Chemical,Inorganic,Water quality,,,,,,,
,Hydrological,Liquid phase,CO (carbon monoxide) ,"IUPAC: carbon monoxide, PubChem CID: 281, CAS Number: 630-08-0",Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,Organic carbon,,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,Suspended inorganic carbon ,,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,Suspended organic carbon ,,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,total suspended carbon ,Concentration of suspended organic and inorganic carbon.,Chemical,,,,,,,,,
,Hydrological,Liquid phase,C03-2 (carbonate),"IUPAC: carbonate, PubChem CID: 19660, CAS Number: 3812-32-6",Chemical,,,,,,,,,
,Hydrological,Liquid phase,cation ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,chlorinated volatile organic compound ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,chlorine 36 ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,chlorine ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,Cr (chromium) ,"IUPAC: chromium, PubChem CID: 23976, CAS Number: 7440-47-3",Chemical,metal,Water quality,,,,,,,
,Hydrological,Liquid phase,Cr(VI) (hexavalent  chromium),"IUPAC: chromium(6+), PubChem CID: 29131, CAS Number: 18540-29-9",Chemical,metal,Water quality,,,,,,,
,Hydrological,Liquid phase,Cr (III) (trivalent chromium) ,"IUPAC: chromium(3+), PubChem CID: 27668, CAS Number: ",Chemical,metal,Water quality,,,,,,,
,Hydrological,Liquid phase,H2 (D) (deuterium) ,"IUPAC: deuterium, PubChem CID: 24523, CAS Number: 7782-39-0",Chemical,,,,,,,,,
,Hydrological,Liquid phase,methylene bromide ,,Chemical,Halocarbon,,,,,,,,
,Hydrological,Liquid phase,meta- and para-xylene ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,neopentane ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,ethane ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,vinyl acetate ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,ethyl ethanoate ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,fluorine ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,2-fluorobiphenyl ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,halide ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,halogen ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,helium ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,pentane ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,MBK ,Concentration of 2-hexanone (methyl buthyl ketone).,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,hexane ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,total hydrocarbon,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,petroleum hydrocarbon ,"Petroleum Hydrocarbons (PHCs) is the name given to a very broad range of chemicals that comprise oil and products refined from oil, such as gasoline and diesel.",Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,hydrogen sulphide ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,iodide ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,iodine ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,methyl iodide ,,Chemical,Halocarbon,,,,,,,,
,Hydrological,Liquid phase,total dissolved ions ,Concentration after filtering the sample through 0.45 uM filter.,Chemical,,,,,,,,,
,Hydrological,Liquid phase,Fe+3 (ferric iron) ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,Fe+2 (ferrous iron) ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,iron sulphide ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,methylpropane ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,2-methylbutane ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,cumene ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,lanthanide ,,Chemical,rare earth,,,,,,,,
,Hydrological,Liquid phase,metal ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,metalloid ,,Chemical,,,Nutrient,,,,,,
,Hydrological,Liquid phase,methane ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,methyl isobutyl ketone ,,Chemical,organometalli,,,,,,,,
,Hydrological,Liquid phase,methyl tert-butyl ether ,,Chemical,organometalli,,,,,,,,
,Hydrological,Liquid phase,methylmercury ,,Chemical,organometalli,,,,,,,,
,Hydrological,Liquid phase,monocyclic aromatic hydrocarbon ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,n-butane ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,albuminoid nitrogen ,,Chemical,organic,,,,,,,,
,Hydrological,Liquid phase,inorganic nitrogen ,,Chemical,inorganic,,,,,,,,
,Hydrological,Liquid phase,noble gas ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,non-metal ,,Chemical,inorganic,,,,,,,,
,Hydrological,Liquid phase,nutrient ,"A nutrient is a substance used by an organism to survive, grow, and reproduce (https://en.wikipedia.org/wiki/Nutrient, 2021).",Chemical,,,,,,,,,
,Hydrological,Liquid phase,organic compound ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,dissolved oxygen ,,Chemical,inorganic,,,,,,,,
,Hydrological,Liquid phase,oxygen 18 ,,Chemical,inorganic,,,,,,,,
,Hydrological,Liquid phase,pH,"pH, denoting 'potential of hydrogen' or 'power of hydrogen', is a scale used to specify the acidity or basicity of an aqueous solution. Acidic solutions (solutions with higher concentrations of H+ ions) are measured to have lower pH values than basic or alkaline solutions (https://en.wikipedia.org/wiki/PH, 2021). ",Chemical,,,,,,,,,
,Hydrological,Liquid phase,p-Cymene ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,pesticide ,"Pesticides are substances that are meant to control pests. The term pesticide includes all of the following: herbicide, insecticides (which may include insect growth regulators, termiticides, etc.) nematicide, molluscicide, piscicide, avicide, rodenticide, bactericide, insect repellent, animal repellent, antimicrobial, and fungicide (https://en.wikipedia.org/wiki/Pesticide, 2021).",Chemical,,,,,,,,,
,Hydrological,Liquid phase,organochlorine pesticide ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,organophosphate pesticide ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,butylbenzene ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,dispersant ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,polynuclear aromatic hydrocarbon ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,post-transition metal ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,propane ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,1-phenylpropane ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,radon-220 ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,radon-222 ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,radon-226 ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,radon ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,rare earth metal ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,butan-2-ylbenzene ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,selenium ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,semi-volatile organic compound ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,silicate as SiO2 ,,Chemical,Inorganic,Mineral,,,,,,,
,Hydrological,Liquid phase,silicon ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,silica ,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,sodium adsorption ratio,,Chemical,,,,,,,,,
,Hydrological,Liquid phase,sulfate as S ,,Chemical,Inorganic,Mineral,,,,,,,
,Hydrological,Liquid phase,sulfide as S ,,Chemical,Inorganic,Mineral,,,,,,,
,Hydrological,Liquid phase,sulfite as S ,,Chemical,Inorganic,Mineral,,,,,,,
,Hydrological,Liquid phase,Sulfur,,Chemical,Inorganic,Mineral,,,,,,,
,Hydrological,Liquid phase,sulfur dioxide ,,Chemical,Inorganic,Mineral,,,,,,,
,Hydrological,Liquid phase,organic sulfur ,,Chemical,Organic,Water quality,,,,,,,
,Hydrological,Liquid phase,4-terphenyl-d14 ,,Chemical,hydrocarbon,,,,,,,,
,Hydrological,Liquid phase,tert-butylbenzene ,,Chemical,hydrocarbon,,,,,,,,
